Published,Type,Title,Description,Video ID,Guests,Episode,Guests_String,mp3,bytes,duration,duration_hhmmss
2022-08-28 17:40:11,WIR,"Opposition restart | Berdzor & Aghavno | ""Peace Plan"" | Military service | Ep 160 - Aug 28, 2022","Armenian News Network/Groong Week in Review - August 21, 2022

Topics:

- 00:00 Introduction
- 02:02 Opposition movement restarts
- 25:28 Berdzor & Aghavno handover
- 34:43 “Peace Plan” coming?
- 49:54 Newly proposed military service avoidance law
- 54:15 Rant

Guest:  Dr. Arthur Khachikyan

Hosts:

Hovik Manucharyan TW/@HovikYerevan
Asbed Bedrossian TW/@qubriq

Episode 160 | Recorded: Sunday, August 28, 2022

Website: https://groong.org/podcasts/WiR-20220828.html",bvqW9ejBj3I,akhachikyan,160,"""akhachikyan""",11218675-opposition-restart-berdzor-aghavno-peace-plan-military-service-avoidance-law-ep-160-aug-28-2022.mp3,40237164,3349,0:55:49
2022-08-26 13:47:58,COG,"Էդգար Ղազարյան | Edgar Ghazaryan | Ep #159 - Aug 26, 2022","Armenian News Network / Groong

Ներքաղաքանան իրավիճակը Հայաստանում Էդգար Ղազարյանի հետ
The State of Armenian Politics with Edgar Ghazaryan

Թեմաներ:
- Անկախության հռչակագիր
- Օգոստոսի 23-ի հանրահավաքը
- Անվստահության քվե (իմպիչմենտ)
- Փաշինյանն ըննդեմ Սահմանադրության
- Ընդդիմության առաջիկա անելիքների մասին

Մեր հյուրը`
* Էդգար Ղազարյան, Վայոց Ձորի նախկին մարզպետ, սահմանադրական դատարանի աշխատակազմի նախկին ղեկավար, Լեհաստանի Հանրապետությունում ՀՀ նախկին արտակարգ և լիազոր դեսպան:

Hosts:
* Hovik Manucharyan
* Asbed Bedrossian

Episode 159 | Recorded on Friday, August 26, 2022
Show notes: https://groong.org/podcasts/CoG-20220826.html",gBh458DLb9I,eghazaryan,159,"""eghazaryan""",11210517-edgar-ghazaryan-ep-159-aug-26-2022.mp3,38234519,3182,0:53:02
2022-08-25 08:58:41,COG,"Aid to Nagorno Karabakh Effectively Blocked | Ep #158 - Aug 25, 2022","Aid to Nagorno Karabakh Effectively Blocked - August 25, 2022
A Conversation with ARAM SUREN HAMPARIAN

Topics:
* The Armenian National Committee of America (ANCA) Has Called on Congress to Investigate the Biden Administration’s Artsakh Aid Blockade.
* The Biden Administration’s Record on Armenian-Backed Resolutions.


Guest:
* Aram Suren Hamparian is the Executive Director of the Armenian National Committee of America.

Hosts:
* Hovik Manucharyan TW/@HovikYerevan
* Asbed Bedrossian TW/@qubriq


Episode 158 | Recorded on Thursday, August 25, 2022
Show notes: https://groong.org/podcasts/CoG-20220825.html",_CX11J3DMj8,ahamparian,158,"""ahamparian""",11202998-aid-to-nagorno-karabakh-effectively-blocked-ep-158-august-25-2022.mp3,9900085,821,0:13:41
2022-08-24 19:56:05,COG,"August 23 - Declaration of Independence of The Republic of Armenia | Ep #157 - Aug 23, 2022","Armenian News Network/Groong - August 23, 2022

On August 23, 1990 the Supreme Council of the Armenian Soviet Socialist Republic proclaimed Armenia as independent. 

True, Armenia officially celebrates independence day on September 21, due to the referendum which was held on Sep 21 1991, the following year. But for me, the date of August 23 - the date of the proclamation of the declaration of independence - is no less special. 

For it is this document comprised of 12 articles that form the basis for all laws in Armenia and for the constitution itself. From the need to establish historic justice, especially referencing the Armenian Genocide, the reunification of Armenia and Artsakh, the recognition of the rights of citizenship for Diasporans, to me these principles encapsulate perfectly the aspirations of the Armenian people at that time and even more so today.

After a millennium without a state (with the exception of the three years of the first republic between 1918 and 1921) the foundation for a new state was established.

This document and the principles enshrined in it are to be cherished and protected! And regardless of their individual flaws or your political judgement, the men and women of the Supreme Council are true statesmen and the founding parents of Armenia.

Just think about it! Out of a global family of 1000s of nations and tribes, only a few were lucky enough or had the right circumstances in order to establish their own state and become a political nation. And Armenians were one of them.

Links to the text of the declaration:
    - Armenian: https://www.gov.am/am/independence/
    - Russian: https://www.gov.am/ru/independence/
    - English: http://www.armenica.org/armenia/doi.html",bflweNUzAcU,,157,,11202663-august-23-declaration-of-independence-of-the-republic-of-armenia-ep-157-aug-23-2022.mp3,5296791,437,0:07:17
2022-08-22 18:49:11,WIR,"Surmalu Blast | Foreign Relations | Resistance Movement | Ep #156 - Aug 21, 2022","Armenian News Network/Groong Week in Review - August 21, 2022

Topics:

- 00:00 Introduction
- 01:44 Surmalu Blast
    - 01:44 What happened in Surmalu market?
    - 07:41 Why did Pashinyan jump the gun to declare that it's not terrorism?
    - 08:45 Russian note of protest on anti-Russian sentiments in information sphere
    - 12:55 A mayoral campaign in the midst of tragedy?
    - 19:01 Policy response: ban fireworks?
- 21:52 Foreign Relations
    - 21:52 Aliyev rejects Artsakh status
    - 28:26 Aghavno/Berdzor handed over
    - 41:50 Papikyan in Moscow
    - 43:28 Iranian red lines, again
    - 48:03 Checkpoints for Azerbaijan
- 53:48 Resistance Movement
- 1:01:12 Ending

Guests:

- Dr. Benyamin Poghosyan - TW/@Benyamin_Poghos

Hosts:

- Hovik Manucharyan TW/@HovikYerevan
- Asbed Bedrossian TW/@qubriq

Episode 156 | Recorded: Monday, August 22, 2022
Website: https://groong.org/podcasts/WiR-20220821.html",LN0538lCYCU,bpoghosyan,156,"""bpoghosyan""",11184221-surmalu-blast-foreign-relations-resistance-movement-ep-156-aug-21-2022.mp3,45717079,3806,1:03:26
2022-08-11 17:44:42,COG,"Armenia’s Economy in 2022 - PART2: Bank Secrecy | Cashless Transactions | Ep #155 - August 12, 2022","Armenia’s Economy in 2022 - PART 2
Conversation with Vardan Aramyan

Topics:

  - Bank Secrecy Legislation
  - Cashless Transactions
  - Explaining Economic “Paradox”

Guest:

Mr. Vardan Aramyan is the former Minister of Finance of the Republic of Armenia from 2016-2018. He is currently Senior Vice President for Finance and Economy at Vallex Group in Yerevan.

Hosts:
  - Hovik Manucharyan TW/@HovikYerevan
  - Asbed Bedrossian TW/@qubriq

Episode 155 | Recorded on Friday, August 5, 2022",XVbGOmS8d2k,varamyan,155,"""varamyan""",11124687-armenia-s-economy-in-2022-part-2-bank-secrecy-cashless-transactions-ep-155-august-12-2022.mp3,29374706,2444,0:40:44
2022-08-11 17:15:33,COG,"Armenia’s Economy in 2022 - PART1: Inflation | Fiscal/Monetary Policies | Ep #154 - August 11, 2022","Armenia’s Economy in 2022 - PART 1
Conversation with Vardan Aramyan

Topics:
 * Inflation
 * Monetary Policies
 * Fiscal Policies

Guest:
 * Mr. Vardan Aramyan is the former Minister of Finance of the Republic of Armenia from 2016-2018. He is currently Senior Vice President for Finance and Economy at Vallex Group in Yerevan.

Hosts:
 * Hovik Manucharyan TW/@HovikYerevan
 * Asbed Bedrossian TW/@qubriq

Website: https://groong.org/podcasts/CoG-20220812.html
Episode 154 | Recorded on Friday, August 5, 2022",qRV8UoMeC4s,varamyan,154,"""varamyan""",11124608-armenia-s-economy-in-2022-part1-inflation-fiscal-policy-monetary-policy-ep-154-august-11-2022.mp3,42062705,3501,0:58:21
2022-08-11 01:40:53,COG,"Anna Astvatsaturian Turcotte | Ep 153 - August 11, 2022","Talking with Anna Astvatsaturian Turcotte | Ep 153 - August 11, 2022

* Growing up Armenian in Azerbaijan
* Experiencing Armenia as an Armenian from Azerbaijan
* Advocating for Armenian Families and Children
* Thoughts on the condition of Artsakh, and Armenia
* The projects in progress at Astvatsaturian.org, Anna’s 501c3 charity organization.

Guest:
* Anna Astvatsaturian Turcotte is an Armenian-American author, city counselor, human rights advocate, and also a refugee from her original city of Baku, the capital of Azerbaijan, which her family fled, as violence mounted against Armenians. TW/@AnnaATurcotte

Hosts:
* Hovik Manucharyan TW/@HovikYerevan
* Asbed Bedrossian TW/@qubriq

Episode 153 | Recorded on Sunday, August 10, 2022
Website: https://groong.org/podcasts/CoG-20220811.html",GLBS28bD_ow,aturcotte,153,"""aturcotte""",11120812-talking-with-anna-astvatsaturian-turcotte-ep-153-august-11-2022.mp3,27806704,2313,0:38:33
2022-08-09 01:14:48,WIR,"Azerbaijan Attacks |  Evacuating Berdzor & Aghavno | Chalabyan Re-arrested | Ep #152 - Aug 7, 2022","ANN/Groong Week in Review - August 7, 2022

Topics:
* Azerbaijan Attacks Artsakh Again
    * Armenian & Artsakh Authorities Evacuating Berdzor & Aghavno Population
* Avetik Chalabyan Re-arrested

Guests:
* Dr. Benyamin Poghosyan - TW/@Benyamin_Poghos

Host:
* Hovik Manucharyan TW/@HovikYerevan
* Asbed Bedrossian TW/@qubriq


Episode 152 | Recorded: Monday, August 8, 2022
Website: https://groong.org/podcasts/WiR-20220807.html",NXAU6vxOvQ8,bpoghosyan,152,"""bpoghosyan""",11105886-azerbaijan-attacks-evacuating-berdzor-aghavno-chalabyan-re-arrested-ep-152-aug-7-2022.mp3,36564786,3043,0:50:43
2022-08-07 18:19:31,COG,"Live from Aghavno with Alison Tahmizian Meuse | Ep #151 - Aug 7, 2022","This is a live recording of our Twitter Spaces discussion from August 7, 2022 with Alison Tahmizian Meuse who joined us from Aghavno.

The situation in Berdzor/Aghavno is quite concerning as residents were told to vacate their homes, their town and their homeland by August 25.

Guest: Alison Tahmizian Meuse

Hosts:

- Hovik Manucharyan TW/@HovikYerevan
- Asbed Bedrossian TW/@qubriq

Episode 151 | Recorded on August 7, 2022",YQPDMGtibcI,ameuse,151,"""ameuse""",11096656-live-from-aghavno-with-alison-tahmizian-meuse-ep-151-aug-7-2022.mp3,26016133,2164,0:36:04
