filename,bytes,duration,episode
10077868-cost-of-pows-war-commission-degrading-norms-of-democracy-lukashenko-latest-mpg-ep-119-feb-13-2022.mp3,59393461,4945,119
10041795-continuing-ukraine-crisis-vahagn-khachatryan-for-pres-new-iri-poll-results-ep-118-feb-6-2022.mp3,45602358,3796,118
10010660-legal-human-rights-developments-in-armenia-ruben-melikyan-ep-117-feb-4-2022.mp3,38197236,3179,117
9983007-ukraine-antalya-army-day-in-armenia-the-ministry-of-foreign-affairs-ep-116-jan-30-2022.mp3,26601754,2213,116
9961631-isabel-bayrakdarian-talks-about-armenian-songs-for-children-with-bedros-afeyan-ep-115-jan-27-2022.mp3,56057231,4667,115
9955086-president-resigns-ukraine-standoff-vahan-kerobyan-min-of-comedy-ep-114-jan-23-2022.mp3,42132756,3507,114
9905175-major-incident-on-the-line-of-contact-turkish-armenian-meeting-in-moscow-ep-113-jan-16-2022.mp3,20267165,1685,113
9872090-color-me-kazakhstan-first-normalization-meeting-on-friday-ep-112-jan-9-2022.mp3,42553864,3542,112
9854809-turkish-armenian-normalization-conversation-with-harut-sassounian-ep-111-jan-9-2022.mp3,46485752,3870,111
9801699-pashinyan-press-conference-kocharyan-press-conference-yerevan-mayor-saga-ep-110-dec-26-2021.mp3,40226356,3348,110
9788895-thirty-years-after-the-ussr-ep-109-dec-26-2021.mp3,33936808,2824,109
9759725-turkish-armenian-normalization-brussels-sprouts-armenian-nsc-chair-in-dc-armenia-project-tour-ep-108-dec-19-2021.mp3,50873112,4235,108
9729656-armenian-and-azerbaijani-expert-perspectives-on-negotiations-ep-107-dec-15-2021.mp3,70902026,5904,107
9710668-zoom-for-democracy-domestic-regional-politics-artsakh-independence-at-30-ep-106-dec-12-2021.mp3,60734503,5057,106
9670654-regional-geopolitics-turkmen-iran-gas-armenian-opposition-fizzles-out-ep-105-dec-5-2021.mp3,48215746,4014,105
9628534-pashinyan-live-trilateral-in-sochi-bilateral-in-brussels-turkish-armenian-normalization-russian-turkish-co-opetition-ep-104-nov-28-2021.mp3,37933152,3157,104
9596885-russia-nato-escalation-border-escalation-goodbye-moscow-hello-brussels-protests-in-yerevan-ep-101-nov-14-2021.mp3,31045822,2583,103
9584896-state-of-the-armenian-economy-conversation-with-vardan-aramyan-ep-102-nov-21-2021.mp3,44182944,3678,102
9555197-talking-with-alison-tahmizian-meuse-ep-100-nov-17-2021.mp3,47374318,3944,100
9563587-armenia-attacked-border-politics-azerbaijan-back-to-osce-mg-municipal-results-ep-101-nov-14-2021.mp3,36686709,3053,101
9517635-war-in-artsakh-one-year-on-erika-olson-visits-region-internal-political-developments-ep-99-nov-7-2021.mp3,39611073,3297,99
9509962-the-state-of-affairs-in-lebanon-the-armenian-community-a-year-after-the-beirut-blast-ep-98-nov-8-2021.mp3,37591382,3128,98
9482000-save-our-monuments-a-year-after-the-war-in-artsakh-the-case-at-the-icj-ep-97-nov-3-2021.mp3,26466329,2201,97
9474939-georgian-runoffs-turkish-drones-in-donbas-iran-turkey-g20-palooza-ep-96-oct-31-2021.mp3,30942043,2574,96
9434655-positive-messages-back-to-street-rallies-local-election-setbacks-siradeghyan-dies-ep-94-oct-24-2021.mp3,37436540,3115,94
9398648-armenia-s-diplomacy-and-regional-corridors-ep-93-oct-19-2021.mp3,32547247,2708,93
9394229-flurry-of-diplomacy-results-from-regions-vaccination-update-trust-in-authorities-ep-92-oct-17-2021.mp3,32838250,2732,92
9305874-saakashvili-in-georgia-putin-erdogan-in-sochi-osce-mg-in-artsakh-tonoyan-in-jail-hovik-in-stepanakert-ep-91-oct-3-2021.mp3,52487813,4370,91
